A Good Day to be a Dog,犬系恋人,https://www.viki.com/tv/40178c-a-good-day-to-be-a-dog,94,9.58,8610,15,2023-09-12T02:42:02Z,kr,N/A,N/A
True Beauty,女神降临,https://www.viki.com/tv/37374c-true-beauty,100,9.58,442594,39,2020-09-04T03:11:59Z,kr,35049265,7.5
What’s Wrong With Secretary Kim,金秘书为何那样,https://www.viki.com/tv/35835c-whats-wrong-with-secretary-kim,98,9.67,528535,49,2018-03-14T04:51:31Z,kr,30181455,8.0
Sh**ting Stars,《Sh**ting Stars》,https://www.viki.com/tv/38405c-shting-stars,100,9.5,126909,30,2022-03-02T09:27:01Z,kr,N/A,N/A
Extra-ordinary You,意外发现的一天,https://www.viki.com/tv/36728c-extra-ordinary-you,100,9.33,67420,17,2019-08-20T06:04:12Z,kr,N/A,N/A
So I Married The Anti-Fan,所以我和黑粉结婚了,https://www.viki.com/tv/37777c-so-i-married-the-anti-fan,100,9.35,107681,40,2021-04-09T01:29:17Z,kr,30304079,6.6
Guardian: The Lonely and Great God,孤单又灿烂的神—鬼怪,https://www.viki.com/tv/31706c-guardian-the-lonely-and-great-god,97,9.71,163687,4,2016-04-19T19:56:56Z,kr,N/A,N/A
Suspicious Partner,奇怪的搭档,https://www.viki.com/tv/34557c-suspicious-partner,100,9.52,158548,0,2017-02-17T05:43:28Z,kr,26976356,7.3
Strong Woman Do Bong Soon,大力女子都奉顺,https://www.viki.com/tv/32311c-strong-woman-do-bong-soon,99,9.72,263886,3,2016-06-03T07:01:57Z,kr,26815054,8.0
My Roommate is a Gumiho,我的室友是九尾狐,https://www.viki.com/tv/37880c-my-roommate-is-a-gumiho,100,9.56,173481,6,2021-05-29T02:16:42Z,kr,N/A,N/A
Descendants of the Sun,太阳的后裔,https://www.viki.com/tv/23205c-descendants-of-the-sun,99,9.73,165638,7,2014-02-18T12:38:49Z,kr,25831874,8.0
Forest,《F》,https://www.viki.com/tv/36981c-forest,99,9.36,100561,23,2020-01-20T08:23:24Z,kr,N/A,N/A
Live Your Own Life,《孝心的家，各自为生》,https://www.viki.com/tv/40163c-live-your-own-life,99,8.16,414,1,2023-09-07T02:10:03Z,kr,N/A,N/A
My Strange Hero,福秀回来了,https://www.viki.com/tv/36330c-my-strange-hero,100,9.45,104698,18,2018-10-12T03:05:33Z,kr,30318046,7.5
The Legend of the Blue Sea,蓝色海洋的传说,https://www.viki.com/tv/32240c-the-legend-of-the-blue-sea,97,9.61,131758,1,2016-05-30T08:53:47Z,kr,N/A,N/A
Mr. Queen,哲仁王后,https://www.viki.com/tv/37480c-mr-queen,98,9.71,180915,36,2020-11-05T01:54:18Z,kr,35004570,6.7
Tale of the Nine-Tailed,九尾狐传,https://www.viki.com/tv/37373c-tale-of-the-nine-tailed,99,9.6,181296,30,2020-09-04T03:11:53Z,kr,35712987,
My ID Is Gangnam Beauty,我的 ID 是江南美人,https://www.viki.com/tv/36424c-my-id-is-gangnam-beauty,98,9.4,200945,0,2018-12-11T09:31:06Z,kr,N/A,N/A
Semantic Error,《Semantic Error》,https://www.viki.com/tv/38375c-semantic-error,99,9.7,152548,1,2022-02-03T02:16:47Z,kr,N/A,N/A
My Love From the Star,来自星星的你,https://www.viki.com/tv/20503c-my-love-from-the-star,100,9.49,128973,11,2013-06-27T06:25:50Z,kr,25698722,8.4
W,W,https://www.viki.com/tv/30854c-w,99,9.55,290668,13,2016-02-02T06:42:20Z,kr,26915546,5.1
The Red Sleeve,衣袖红镶边,https://www.viki.com/tv/38101c-the-red-sleeve,100,9.48,94972,5,2021-09-06T07:10:08Z,kr,35131282,8.3
I Am Not a Robot,不是机器人啊,https://www.viki.com/tv/35618c-i-am-not-a-robot,99,9.59,130269,0,2017-09-08T05:56:25Z,kr,27126334,7.6
Heirs,继承者们,https://www.viki.com/tv/12699c-heirs,99,9.46,224282,2,2013-03-29T01:31:07Z,kr,23775560,7.0
Born Again,Born Again,https://www.viki.com/tv/37088c-born-again,100,8.94,17351,20,2020-04-01T03:13:16Z,kr,N/A,N/A
Doom at Your Service,某一天灭亡来到我家门前,https://www.viki.com/tv/37776c-doom-at-your-service,100,9.53,244704,35,2021-04-08T03:25:17Z,kr,N/A,N/A
Hotel Del Luna,德鲁纳酒店,https://www.viki.com/tv/36667c-hotel-del-luna,99,9.6,183719,34,2019-07-10T01:42:30Z,kr,30433323,8.1
Princess Hours,宫,https://www.viki.com/tv/72c-princess-hours,85,9.21,32536,0,2009-01-23T05:55:12Z,kr,4917905,6.2
Level Up,新作,https://www.viki.com/tv/36585c-level-up,99,8.78,33099,12,2019-05-03T01:55:10Z,kr,N/A,N/A
Weak Hero Class 1,弱美男英雄 Class 1,https://www.viki.com/tv/38971c-weak-hero-class-1,98,9.62,52520,0,2022-11-17T06:02:19Z,kr,N/A,N/A
While You Were Sleeping,当你熟睡时,https://www.viki.com/tv/33538c-while-you-were-sleeping,99,9.62,303364,21,2016-10-24T03:41:24Z,kr,N/A,N/A
Boys Over Flowers,花样男子,https://www.viki.com/tv/50c-boys-over-flowers,70,9.45,125303,26,2008-12-11T12:44:14Z,kr,3528554,7.4
She Was Pretty,她很漂亮,https://www.viki.com/tv/28448c-she-was-pretty,99,9.5,93624,13,2015-07-07T11:43:08Z,kr,26708490,
"Weightlifting Fairy, Kim Bok-joo",举重妖精金福珠,https://www.viki.com/tv/32634c-weightlifting-fairy-kim-bok-joo,99,9.7,176777,8,2016-07-01T18:38:06Z,kr,26836808,8.6
Love In Contract,月水金火木土,https://www.viki.com/tv/38782c-love-in-contract,100,9.22,86677,21,2022-08-19T05:54:06Z,kr,35774470,
"Noble, My Love",高贵的你,https://www.viki.com/tv/36731c-noble-my-love,99,9.01,48107,25,2019-08-20T06:04:23Z,kr,N/A,N/A
A Good Day to be a Dog,犬系恋人,https://www.viki.com/tv/40178c-a-good-day-to-be-a-dog,94,9.58,8610,15,2023-09-12T02:42:02Z,kr,N/A,N/A
True Beauty,女神降临,https://www.viki.com/tv/37374c-true-beauty,100,9.58,442594,39,2020-09-04T03:11:59Z,kr,35049265,7.5
What’s Wrong With Secretary Kim,金秘书为何那样,https://www.viki.com/tv/35835c-whats-wrong-with-secretary-kim,98,9.67,528535,49,2018-03-14T04:51:31Z,kr,30181455,8.0
Sh**ting Stars,《Sh**ting Stars》,https://www.viki.com/tv/38405c-shting-stars,100,9.5,126909,30,2022-03-02T09:27:01Z,kr,N/A,N/A
Extra-ordinary You,意外发现的一天,https://www.viki.com/tv/36728c-extra-ordinary-you,100,9.33,67420,17,2019-08-20T06:04:12Z,kr,N/A,N/A
So I Married The Anti-Fan,所以我和黑粉结婚了,https://www.viki.com/tv/37777c-so-i-married-the-anti-fan,100,9.35,107681,40,2021-04-09T01:29:17Z,kr,30304079,6.6
Guardian: The Lonely and Great God,孤单又灿烂的神—鬼怪,https://www.viki.com/tv/31706c-guardian-the-lonely-and-great-god,97,9.71,163687,4,2016-04-19T19:56:56Z,kr,N/A,N/A
Suspicious Partner,奇怪的搭档,https://www.viki.com/tv/34557c-suspicious-partner,100,9.52,158548,0,2017-02-17T05:43:28Z,kr,26976356,7.3
Strong Woman Do Bong Soon,大力女子都奉顺,https://www.viki.com/tv/32311c-strong-woman-do-bong-soon,99,9.72,263886,3,2016-06-03T07:01:57Z,kr,26815054,8.0
My Roommate is a Gumiho,我的室友是九尾狐,https://www.viki.com/tv/37880c-my-roommate-is-a-gumiho,100,9.56,173481,6,2021-05-29T02:16:42Z,kr,N/A,N/A
Descendants of the Sun,太阳的后裔,https://www.viki.com/tv/23205c-descendants-of-the-sun,99,9.73,165638,7,2014-02-18T12:38:49Z,kr,25831874,8.0
Forest,《F》,https://www.viki.com/tv/36981c-forest,99,9.36,100561,23,2020-01-20T08:23:24Z,kr,N/A,N/A
Live Your Own Life,《孝心的家，各自为生》,https://www.viki.com/tv/40163c-live-your-own-life,99,8.16,414,1,2023-09-07T02:10:03Z,kr,N/A,N/A
My Strange Hero,福秀回来了,https://www.viki.com/tv/36330c-my-strange-hero,100,9.45,104698,18,2018-10-12T03:05:33Z,kr,30318046,7.5
The Legend of the Blue Sea,蓝色海洋的传说,https://www.viki.com/tv/32240c-the-legend-of-the-blue-sea,97,9.61,131758,1,2016-05-30T08:53:47Z,kr,N/A,N/A
Mr. Queen,哲仁王后,https://www.viki.com/tv/37480c-mr-queen,98,9.71,180915,36,2020-11-05T01:54:18Z,kr,35004570,6.7
Tale of the Nine-Tailed,九尾狐传,https://www.viki.com/tv/37373c-tale-of-the-nine-tailed,99,9.6,181296,30,2020-09-04T03:11:53Z,kr,35712987,
My ID Is Gangnam Beauty,我的 ID 是江南美人,https://www.viki.com/tv/36424c-my-id-is-gangnam-beauty,98,9.4,200945,0,2018-12-11T09:31:06Z,kr,N/A,N/A
Semantic Error,《Semantic Error》,https://www.viki.com/tv/38375c-semantic-error,99,9.7,152548,1,2022-02-03T02:16:47Z,kr,N/A,N/A
My Love From the Star,来自星星的你,https://www.viki.com/tv/20503c-my-love-from-the-star,100,9.49,128973,11,2013-06-27T06:25:50Z,kr,25698722,8.4
W,W,https://www.viki.com/tv/30854c-w,99,9.55,290668,13,2016-02-02T06:42:20Z,kr,26915546,5.1
The Red Sleeve,衣袖红镶边,https://www.viki.com/tv/38101c-the-red-sleeve,100,9.48,94972,5,2021-09-06T07:10:08Z,kr,35131282,8.3
I Am Not a Robot,不是机器人啊,https://www.viki.com/tv/35618c-i-am-not-a-robot,99,9.59,130269,0,2017-09-08T05:56:25Z,kr,27126334,7.6
Heirs,继承者们,https://www.viki.com/tv/12699c-heirs,99,9.46,224282,2,2013-03-29T01:31:07Z,kr,23775560,7.0
Born Again,Born Again,https://www.viki.com/tv/37088c-born-again,100,8.94,17351,20,2020-04-01T03:13:16Z,kr,N/A,N/A
Doom at Your Service,某一天灭亡来到我家门前,https://www.viki.com/tv/37776c-doom-at-your-service,100,9.53,244704,35,2021-04-08T03:25:17Z,kr,N/A,N/A
Hotel Del Luna,德鲁纳酒店,https://www.viki.com/tv/36667c-hotel-del-luna,99,9.6,183719,34,2019-07-10T01:42:30Z,kr,30433323,8.1
Princess Hours,宫,https://www.viki.com/tv/72c-princess-hours,85,9.21,32536,0,2009-01-23T05:55:12Z,kr,4917905,6.2
Level Up,新作,https://www.viki.com/tv/36585c-level-up,99,8.78,33099,12,2019-05-03T01:55:10Z,kr,N/A,N/A
Weak Hero Class 1,弱美男英雄 Class 1,https://www.viki.com/tv/38971c-weak-hero-class-1,98,9.62,52520,0,2022-11-17T06:02:19Z,kr,N/A,N/A
While You Were Sleeping,当你熟睡时,https://www.viki.com/tv/33538c-while-you-were-sleeping,99,9.62,303364,21,2016-10-24T03:41:24Z,kr,N/A,N/A
Boys Over Flowers,花样男子,https://www.viki.com/tv/50c-boys-over-flowers,70,9.45,125303,26,2008-12-11T12:44:14Z,kr,3528554,7.4
She Was Pretty,她很漂亮,https://www.viki.com/tv/28448c-she-was-pretty,99,9.5,93624,13,2015-07-07T11:43:08Z,kr,26708490,
"Weightlifting Fairy, Kim Bok-joo",举重妖精金福珠,https://www.viki.com/tv/32634c-weightlifting-fairy-kim-bok-joo,99,9.7,176777,8,2016-07-01T18:38:06Z,kr,26836808,8.6
Love In Contract,月水金火木土,https://www.viki.com/tv/38782c-love-in-contract,100,9.22,86677,21,2022-08-19T05:54:06Z,kr,35774470,
"Noble, My Love",高贵的你,https://www.viki.com/tv/36731c-noble-my-love,99,9.01,48107,25,2019-08-20T06:04:23Z,kr,N/A,N/A
Her Private Life,她的私生活,https://www.viki.com/tv/36550c-her-private-life,95,9.49,162552,31,2019-03-27T05:31:07Z,kr,30395583,7.6
Melting Me Softly,融化我吧,https://www.viki.com/tv/36676c-melting-me-softly,100,9.24,143397,30,2019-07-15T03:02:43Z,kr,N/A,N/A
Lovers of the Red Sky,红天机,https://www.viki.com/tv/37634c-lovers-of-the-red-sky,99,9.46,82799,16,2021-01-12T07:59:06Z,kr,27024461,5.4
Uncontrollably Fond,任意依恋,https://www.viki.com/tv/28954c-uncontrollably-fond,96,9.35,141117,0,2015-08-20T03:13:10Z,kr,26596124,6.4
The Eighth Sense,《第八感》,https://www.viki.com/tv/39344c-the-eighth-sense,99,9.71,41885,3,2023-01-26T05:22:03Z,kr,N/A,N/A
Empress Ki,奇皇后,https://www.viki.com/tv/37211c-empress-ki,99,9.43,21639,0,2020-06-05T03:19:59Z,kr,24883821,7.2
Our Blooming Youth,青春月谭,https://www.viki.com/tv/39181c-our-blooming-youth,100,9.45,46191,14,2023-01-05T05:20:18Z,kr,35587869,
Kiss Goblin,Kiss 妖怪,https://www.viki.com/tv/37458c-kiss-goblin,100,9.22,199722,0,2020-10-20T01:53:19Z,kr,N/A,N/A
Our Dating Sim,我们的恋爱模拟,https://www.viki.com/tv/39574c-our-dating-sim,99,9.56,44993,6,2023-02-16T02:38:14Z,kr,N/A,N/A
Why Her?,《为何是吴秀才？》,https://www.viki.com/tv/38290c-why-her,99,9.49,55384,5,2021-12-10T02:51:05Z,kr,N/A,N/A
Where Stars Land,《狐狸新娘星》,https://www.viki.com/tv/36298c-where-stars-land,100,9.28,71332,3,2018-09-13T03:19:26Z,kr,N/A,N/A
Healer,治愈者,https://www.viki.com/tv/23730c-healer,97,9.71,89559,0,2014-04-18T08:43:04Z,kr,25932015,8.6
Flower of Evil,恶之花,https://www.viki.com/tv/37073c-flower-of-evil,99,9.73,165725,24,2020-03-19T09:27:49Z,kr,26780374,4.6
Happiness,幸福,https://www.viki.com/tv/38039c-happiness,99,9.64,163469,35,2021-08-02T06:44:25Z,kr,1483431,6.8
Degree of Love,《爱情的温度》,https://www.viki.com/tv/35629c-degree-of-love,99,9.17,9437,0,2017-09-19T08:25:18Z,kr,N/A,N/A
Roommates of Poongduck 304,风德住宅304号的事因,https://www.viki.com/tv/38790c-roommates-of-poongduck-304,100,9.44,35000,6,2022-08-26T01:37:05Z,kr,35983209,
Cinderella and Four Knights,灰姑娘与四骑士,https://www.viki.com/tv/36746c-cinderella-and-four-knights,100,9.54,119626,1,2019-08-30T08:07:56Z,kr,26715486,5.9
